name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume,Sector_main,sector,change
BERJAYA CORPORATION BERHAD - ICULS 2016/2026,3395LE,2019-04-10,7:12 PM,-,-,-,0.385,0,0.230 / 50,0.000 / 0,Bond & Loan,Industrial Products & Services,0.0
BERJAYA CORPORATION BERHAD - ICULS 2016/2026,3395LE,2019-04-11,7:12 PM,-,-,-,0.385,0,0.235 / 22,0.685 / 11,Bond & Loan,Industrial Products & Services,0.0
BERJAYA CORPORATION BERHAD - ICULS 2016/2026,3395LE,2019-04-12,7:12 PM,-,-,-,0.385,0,0.235 / 22,0.000 / 0,Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-02-25,6:29 PM,-,-,-,0.02,0,"0.020 / 15,340","0.025 / 5,941",Bond & Loan,Industrial Products & Services,
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-02-26,7:11 PM,-,-,-,0.02,0,"0.020 / 15,340","0.025 / 5,941",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-02-27,7:11 PM,-,-,-,0.02,0,"0.020 / 15,340","0.025 / 5,941",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-02-28,7:11 PM,-,-,-,0.02,0,"0.020 / 15,340","0.025 / 5,941",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-03-01,7:11 PM,-,-,-,0.02,0,"0.020 / 15,340","0.025 / 5,941",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-03-04,7:11 PM,-,-,-,0.02,0,"0.020 / 15,340","0.025 / 5,741",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-03-05,7:11 PM,-,-,-,0.02,0,"0.020 / 15,340","0.025 / 5,741",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-03-06,7:11 PM,-,-,-,0.02,0,"0.020 / 15,000","0.025 / 5,741",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-03-07,7:11 PM,-,-,-,0.02,0,"0.020 / 15,000","0.025 / 5,741",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-03-08,7:11 PM,-,-,-,0.02,0,"0.020 / 15,000","0.025 / 5,741",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-03-11,7:11 PM,-,-,-,0.02,0,"0.020 / 15,000","0.025 / 5,741",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-03-12,7:11 PM,-,-,-,0.02,0,"0.020 / 15,000","0.025 / 5,741",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-03-13,7:13 PM,-,-,-,0.02,0,"0.020 / 15,000","0.025 / 5,741",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-03-14,7:12 PM,0.025,0.025,0.025,0.025,100,"0.020 / 15,000","0.025 / 5,641",Bond & Loan,Industrial Products & Services,0.2500000000000001
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-03-15,7:12 PM,-,-,-,0.025,0,"0.020 / 15,000","0.025 / 5,641",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-03-18,7:12 PM,-,-,-,0.025,0,"0.020 / 15,000","0.025 / 5,641",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-03-19,7:12 PM,-,-,-,0.025,0,"0.020 / 15,000","0.025 / 5,641",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-03-20,7:11 PM,-,-,-,0.025,0,"0.020 / 15,000","0.025 / 5,641",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-03-21,7:12 PM,-,-,-,0.025,0,"0.020 / 15,000","0.025 / 5,641",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-03-22,7:12 PM,-,-,-,0.025,0,"0.020 / 15,000","0.025 / 5,641",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-03-25,7:12 PM,-,-,-,0.025,0,"0.020 / 15,000","0.025 / 5,642",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-03-26,7:12 PM,-,-,-,0.025,0,"0.020 / 15,000","0.025 / 5,642",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-03-27,7:12 PM,-,-,-,0.025,0,"0.020 / 15,000","0.025 / 5,642",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-03-28,7:12 PM,-,-,-,0.025,0,"0.020 / 15,000","0.025 / 5,642",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-03-29,7:12 PM,-,-,-,0.025,0,"0.020 / 15,000","0.025 / 5,642",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-04-01,7:12 PM,-,-,-,0.025,0,"0.020 / 15,000","0.025 / 5,642",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-04-02,7:12 PM,-,-,-,0.025,0,"0.020 / 15,000","0.025 / 5,642",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-04-03,7:12 PM,-,-,-,0.025,0,"0.020 / 15,000","0.025 / 5,642",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-04-04,7:12 PM,-,-,-,0.025,0,"0.020 / 15,000","0.025 / 5,642",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-04-05,7:12 PM,-,-,-,0.025,0,"0.020 / 15,000","0.025 / 5,642",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-04-08,7:12 PM,-,-,-,0.025,0,"0.020 / 15,000","0.025 / 5,642",Bond & Loan,Industrial Products & Services,0.0
CME GROUP BHD-IRREDEEMABLE CONVERTIBLE UNSECURED LOAN STOCKS 14/24,7018LA,2019-04-09,7:12 PM,-,-,-,0.025,0,"0.020 / 15,000","0.025 / 5,642",Bond & Loan,Industrial Products & Services,0.0
