name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume,Sector_main,sector,change
NETX HOLDINGS BHD,20,2019-02-26,7:11 PM,0.015,0.015,0.02,0.015,"3,741","0.015 / 426,919","0.020 / 445,891",Ace Market,Technology,-0.2500000000000001
NETX HOLDINGS BHD,20,2019-02-27,7:11 PM,0.015,0.015,0.02,0.02,"12,125","0.015 / 436,067","0.020 / 469,931",Ace Market,Technology,0.3333333333333334
NETX HOLDINGS BHD,20,2019-02-28,7:11 PM,0.015,0.015,0.02,0.02,"32,362","0.015 / 403,426","0.020 / 511,093",Ace Market,Technology,0.0
NETX HOLDINGS BHD,20,2019-03-01,7:11 PM,0.015,0.015,0.02,0.02,"60,817","0.015 / 211,856","0.020 / 547,387",Ace Market,Technology,0.0
NETX HOLDINGS BHD,20,2019-03-04,7:11 PM,0.015,0.015,0.02,0.015,"7,007","0.015 / 206,880","0.020 / 536,406",Ace Market,Technology,-0.2500000000000001
NETX HOLDINGS BHD,20,2019-03-05,7:11 PM,0.015,0.015,0.02,0.02,"15,374","0.015 / 156,611","0.020 / 532,209",Ace Market,Technology,0.3333333333333334
NETX HOLDINGS BHD,20,2019-03-06,7:11 PM,0.015,0.01,0.02,0.015,"182,237","0.015 / 37,028","0.020 / 508,338",Ace Market,Technology,-0.2500000000000001
NETX HOLDINGS BHD,20,2019-03-07,7:11 PM,0.015,0.015,0.02,0.015,"165,223","0.015 / 59,306","0.020 / 496,046",Ace Market,Technology,0.0
NETX HOLDINGS BHD,20,2019-03-08,7:11 PM,0.015,0.01,0.02,0.015,"175,889","0.010 / 722,833","0.015 / 7,885",Ace Market,Technology,0.0
NETX HOLDINGS BHD,20,2019-03-11,7:11 PM,0.015,0.01,0.015,0.015,"55,591","0.010 / 855,863","0.015 / 15,048",Ace Market,Technology,0.0
NETX HOLDINGS BHD,20,2019-03-12,7:11 PM,0.01,0.01,0.015,0.015,"34,066","0.010 / 872,143","0.015 / 18,185",Ace Market,Technology,0.0
NETX HOLDINGS BHD,20,2019-03-13,7:13 PM,0.015,0.01,0.015,0.015,"16,250","0.010 / 958,488","0.015 / 44,735",Ace Market,Technology,0.0
NETX HOLDINGS BHD,20,2019-03-14,7:12 PM,0.015,0.01,0.015,0.015,"9,387","0.010 / 944,883","0.015 / 34,799",Ace Market,Technology,0.0
NETX HOLDINGS BHD,20,2019-03-15,7:12 PM,0.015,0.01,0.015,0.01,"24,873","0.010 / 1,176,766","0.015 / 104,745",Ace Market,Technology,-0.3333333333333333
NETX HOLDINGS BHD,20,2019-03-18,7:12 PM,0.015,0.01,0.015,0.01,"13,099","0.010 / 1,169,823","0.015 / 108,078",Ace Market,Technology,0.0
NETX HOLDINGS BHD,20,2019-03-19,7:12 PM,0.01,0.01,0.015,0.015,"35,436","0.010 / 1,254,149","0.015 / 114,088",Ace Market,Technology,0.4999999999999999
NETX HOLDINGS BHD,20,2019-03-20,7:11 PM,0.015,0.01,0.015,0.015,"3,170","0.010 / 1,258,078","0.015 / 116,738",Ace Market,Technology,0.0
NETX HOLDINGS BHD,20,2019-03-21,7:12 PM,0.015,0.01,0.015,0.015,"13,181","0.010 / 1,230,751","0.015 / 101,923",Ace Market,Technology,0.0
NETX HOLDINGS BHD,20,2019-03-22,7:12 PM,0.015,0.01,0.015,0.015,"11,620","0.010 / 1,247,338","0.015 / 82,973",Ace Market,Technology,0.0
NETX HOLDINGS BHD,20,2019-03-25,7:12 PM,0.015,0.015,0.015,0.015,"5,010","0.010 / 1,219,617","0.015 / 62,804",Ace Market,Technology,0.0
NETX HOLDINGS BHD,20,2019-03-26,7:12 PM,0.015,0.01,0.015,0.01,"11,904","0.010 / 1,243,325","0.015 / 68,923",Ace Market,Technology,-0.3333333333333333
NETX HOLDINGS BHD,20,2019-03-27,7:12 PM,0.015,0.01,0.015,0.015,"33,293","0.010 / 1,323,150","0.015 / 49,636",Ace Market,Technology,0.4999999999999999
NETX HOLDINGS BHD,20,2019-03-28,7:12 PM,0.015,0.01,0.02,0.015,"96,929","0.010 / 1,270,508","0.015 / 8,466",Ace Market,Technology,0.0
NETX HOLDINGS BHD,20,2019-03-29,7:12 PM,0.015,0.015,0.02,0.015,"39,704","0.010 / 1,217,812",0.015 / 546,Ace Market,Technology,0.0
NETX HOLDINGS BHD,0020,2019-04-01,7:12 PM,0.020,0.015,0.020,0.015,"34,104","0.010 / 1,234,150","0.015 / 2,498",Ace Market,Technology,0.0
NETX HOLDINGS BHD,0020,2019-04-02,7:12 PM,0.015,0.015,0.020,0.02,"18,450","0.015 / 34,235","0.020 / 539,779",Ace Market,Technology,0.3333333333333334
NETX HOLDINGS BHD,20,2019-04-03,7:12 PM,0.02,0.015,0.02,0.02,"17,044","0.015 / 53,392","0.020 / 570,941",Ace Market,Technology,0.0
NETX HOLDINGS BHD,0020,2019-04-04,7:12 PM,0.015,0.015,0.020,0.015,"53,089","0.015 / 13,258","0.020 / 512,306",Ace Market,Technology,-0.2500000000000001
NETX HOLDINGS BHD,20,2019-04-05,7:12 PM,0.015,0.015,0.02,0.02,"36,756","0.015 / 321,362","0.020 / 532,488",Ace Market,Technology,0.3333333333333334
NETX HOLDINGS BHD,0020,2019-04-08,7:12 PM,0.020,0.015,0.020,0.02,"7,846","0.015 / 344,438","0.020 / 483,974",Ace Market,Technology,0.0
