name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume,Sector_main,sector,change
MyETF MSCI MALAYSIA ISLAMIC DIVIDEND,0824EA,2019-03-26,7:12 PM,-,-,-,1.095,0,1.085 / 660,1.125 / 660,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI MALAYSIA ISLAMIC DIVIDEND,0824EA,2019-03-27,7:12 PM,1.12,1.12,1.12,1.12,40,1.120 / 1,1.125 / 660,ETF,Exchange Traded Fund-Equity,0.022831050228310626
MyETF MSCI MALAYSIA ISLAMIC DIVIDEND,0824EA,2019-03-28,7:12 PM,-,-,-,1.12,0,1.090 / 660,1.130 / 660,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI MALAYSIA ISLAMIC DIVIDEND,0824EA,2019-03-29,7:12 PM,-,-,-,1.12,0,1.090 / 660,1.130 / 660,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI MALAYSIA ISLAMIC DIVIDEND,0824EA,2019-04-01,7:12 PM,1.090,1.080,1.110,1.11,"1,380",1.080 / 4,1.110 / 340,ETF,Exchange Traded Fund-Equity,-0.008928571428571435
MyETF MSCI MALAYSIA ISLAMIC DIVIDEND,0824EA,2019-04-02,7:12 PM,1.075,1.040,1.100,1.04,"4,004",1.040 / 54,1.080 / 330,ETF,Exchange Traded Fund-Equity,-0.06306306306306311
MyETF MSCI MALAYSIA ISLAMIC DIVIDEND,0824EA,2019-04-03,7:12 PM,1.1,1.1,1.1,1.1,10,1.060 / 660,1.090 / 51,ETF,Exchange Traded Fund-Equity,0.05769230769230775
MyETF MSCI MALAYSIA ISLAMIC DIVIDEND,0824EA,2019-04-04,7:12 PM,-,-,-,1.1,0,1.080 / 330,1.100 / 51,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI MALAYSIA ISLAMIC DIVIDEND,0824EA,2019-04-05,7:12 PM,-,-,-,1.1,0,1.080 / 330,1.100 / 51,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI MALAYSIA ISLAMIC DIVIDEND,0824EA,2019-04-08,7:12 PM,-,-,-,1.1,0,1.090 / 330,1.120 / 381,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI MALAYSIA ISLAMIC DIVIDEND,0824EA,2019-04-09,7:12 PM,1.12,1.12,1.12,1.12,10,1.085 / 660,1.120 / 41,ETF,Exchange Traded Fund-Equity,0.0181818181818182
MyETF MSCI MALAYSIA ISLAMIC DIVIDEND,0824EA,2019-04-10,7:12 PM,-,-,-,1.12,0,1.085 / 340,1.120 / 335,ETF,Exchange Traded Fund-Equity,0.0
MyETF MSCI MALAYSIA ISLAMIC DIVIDEND,0824EA,2019-04-11,7:12 PM,-,-,-,1.12,0,1.085 / 10,1.120 / 660,ETF,Exchange Traded Fund-Equity,0.0
