full name,code,Sector_main,sector,52w,ROE,P/E,EPS,DPS,DY,PTBV,RPS,PSR,Market_Cap,RSI,Stochastic
COMPLETE LOGISTIC SERVICES BERHAD,5136, Main Market,Transportation & Logistics ,0.535 - 0.930,7.61,9,9.21,0.0,0.0,0.72,100.61,1.0,108.1M,Neutral 63.9,Neutral 62.5
KEJURUTERAAN ASASTERA BERHAD,0193, Ace Market,Industrial Products & Services ,0.185 - 0.310,17.93,8,2.69,1.0,0.0465,1.43,43.47,0.0,68.8M,Neutral 47.5,Oversold 16.7
TURBO-MECH BERHAD,5167, Main Market,Industrial Products & Services ,0.620 - 0.840,6.18,12,6.06,0.0,0.0,0.76,37.9,2.0,80.5M,Neutral 53.8,Neutral 32.1
HALEX HOLDINGS BERHAD,5151, Main Market,Industrial Products & Services ,0.670 - 1.010,-17.8,-7,-10.5,0.0,0.0,1.27,64.29,1.0,79.5M,Neutral 45.2,Oversold 0.0
BOUSTEAD PLANTATIONS BERHAD,5254, Main Market,Plantation ,0.655 - 1.750,-1.93,-35,-2.31,7.05,0.0865,0.68,26.07,3.0,"1,825.6M",Neutral 37.0,Neutral 26.0
KAREX BERHAD,5247, Main Market,Consumer Products & Services ,0.375 - 0.940,1.24,69,0.61,0.5,0.0119,0.86,39.47,1.0,421.0M,Neutral 46.9,Neutral 41.2
ECONPILE HOLDINGS BERHAD,5253, Main Market,Construction ,0.360 - 1.180,6.85,27,1.78,1.0,0.0211,1.83,55.76,1.0,635.3M,Neutral 52.1,Neutral 47.2
HIAP HUAT HOLDINGS BERHAD,0160, Ace Market,Industrial Products & Services ,0.080 - 0.125,3.59,16,0.61,0.0,0.0,0.56,16.05,1.0,31.7M,Neutral 53.1,Neutral 33.3
PINEHILL PACIFIC BERHAD,1902, Main Market,Plantation ,0.140 - 0.690,-40.18,-2,-20.49,0.0,0.0,0.63,12.91,2.0,47.9M,Neutral 43.9,Neutral 57.1
SUNWAY CONSTRUCTION GROUP BERHAD,5263, Main Market,Construction ,1.300 - 2.410,24.33,16,11.19,7.0,0.0393,3.87,174.56,1.0,"2,301.4M",Neutral 67.9,Overbought 80.0
UMS HOLDINGS BERHAD,7137, Main Market,Industrial Products & Services ,2.000 - 2.750,2.92,21,11.73,10.0,0.0408,0.61,196.48,1.0,99.7M,Neutral 49.9,Oversold 0.0
OKA CORPORATION BHD,7140, Main Market,Industrial Products & Services ,0.555 - 1.450,8.64,10,6.48,4.13,0.0626,0.88,54.68,1.0,162.0M,Neutral 66.8,Neutral 66.7
ATTA GLOBAL GROUP BERHAD,7099, Main Market,Industrial Products & Services ,0.545 - 0.930,-1.11,-38,-1.82,0.0,0.0,0.42,77.18,1.0,147.2M,Neutral 58.8,Neutral 61.3
APM AUTOMOTIVE HOLDINGS BERHAD,5015, Main Market,Industrial Products & Services ,2.680 - 3.820,3.02,16,19.07,5.0,0.0161,0.49,661.89,0.0,625.0M,Neutral 63.9,Neutral 66.7
ORNAPAPER BERHAD,5065, Main Market,Industrial Products & Services ,0.880 - 1.780,5.73,8,12.49,0.0,0.0,0.47,465.16,0.0,77.5M,Neutral 58.8,Neutral 53.8
DKSH HOLDINGS (MALAYSIA) BERHAD,5908, Main Market,Consumer Products & Services ,2.140 - 4.420,7.47,9,28.3,0.0,0.0,0.65,3813.22,0.0,389.4M,Neutral 47.7,Oversold 11.1
COMPUGATES HOLDINGS BERHAD,5037, Main Market,Industrial Products & Services ,0.020 - 0.030,-5.2,-10,-0.26,0.0,0.0,0.5,0.82,3.0,58.7M,Neutral 48.1,Neutral 50.0
SIGNATURE INTERNATIONAL BERHAD,7246, Main Market,Consumer Products & Services ,0.315 - 0.675,1.34,39,1.02,1.5,0.0375,0.53,83.22,0.0,96.1M,Neutral 67.4,Neutral 73.3
GD EXPRESS CARRIER BERHAD,0078, Main Market,Transportation & Logistics ,0.255 - 0.600,5.22,74,0.47,0.19,0.0055,3.83,5.41,6.0,"1,946.3M",Neutral 58.0,Neutral 47.4
GLOBETRONICS TECHNOLOGY BERHAD,7022, Main Market,Technology ,1.390 - 5.540,23.29,18,10.48,7.28,0.0383,4.22,49.02,4.0,"1,271.3M",Neutral 47.4,Oversold 11.1
SALUTICA BERHAD,0183, Main Market,Consumer Products & Services ,0.350 - 0.775,1.34,66,0.57,2.4,0.0632,0.89,49.92,1.0,147.4M,Neutral 45.1,Neutral 27.8
MCLEAN TECHNOLOGIES BERHAD,0167, Ace Market,Industrial Products & Services ,0.090 - 0.170,-16.13,-4,-2.42,0.0,0.0,0.6,38.23,0.0,16.1M,Neutral 35.8,Oversold 0.0
NEW HOONG FATT HOLDINGS BERHAD,7060, Main Market,Consumer Products & Services ,2.500 - 3.530,3.07,16,16.94,3.0,0.0111,0.49,310.89,1.0,223.2M,Neutral 44.1,Neutral 55.6
GPA HOLDINGS BERHAD,7096, Main Market,Industrial Products & Services ,0.080 - 0.120,0.36,274,0.04,0.0,0.0,1.05,4.81,2.0,112.8M,Overbought 86.6,Overbought 85.7
N2N CONNECT BERHAD,0108, Ace Market,Technology ,0.670 - 1.370,5.18,42,2.19,0.89,0.0097,2.16,18.07,5.0,547.1M,Neutral 43.5,Neutral 43.8
CEPATWAWASAN GROUP BERHAD,8982, Main Market,Plantation ,0.530 - 0.790,1.46,37,1.63,1.5,0.025,0.54,75.59,1.0,191.1M,Neutral 48.8,Oversold 18.2
PANPAGES BERHAD,0041, Main Market,Technology ,0.190 - 0.315,-117.59,-2,-9.76,0.0,0.0,2.65,5.84,4.0,58.4M,Neutral 41.4,Oversold 0.0
INNOPRISE PLANTATIONS BERHAD,6262, Main Market,Plantation ,0.605 - 0.895,1.63,35,2.13,0.0,0.0,0.56,23.85,3.0,354.4M,Neutral 56.5,Neutral 35.3
HARBOUR-LINK GROUP BERHAD,2062, Main Market,Transportation & Logistics ,0.620 - 0.760,9.27,7,9.18,1.0,0.0148,0.68,168.58,0.0,270.3M,Neutral 43.1,Neutral 22.2
UNISEM (M) BERHAD,5005, Main Market,Technology ,1.600 - 3.300,6.64,21,13.06,4.5,0.0162,1.41,184.14,2.0,"2,040.0M",Oversold 29.5,Oversold 15.8
PUBLIC PACKAGES HOLDINGS BHD,8273, Main Market,Industrial Products & Services ,0.390 - 0.690,8.54,6,10.08,0.0,0.0,0.48,105.44,1.0,107.5M,Neutral 59.1,Neutral 70.0
CHEETAH HOLDINGS BERHAD,7209, Main Market,Consumer Products & Services ,0.290 - 0.495,0.45,71,0.49,0.4,0.0114,0.32,90.12,0.0,44.7M,Neutral 52.2,Neutral 75.0
YONG TAI BERHAD,7066, Main Market,Property ,0.300 - 1.550,-0.53,-60,-0.59,0.0,0.0,0.32,23.67,2.0,172.4M,Neutral 49.4,Neutral 50.0
MI TECHNOVATION BERHAD,5286, Main Market,Technology ,1.390 - 3.370,13.42,26,8.86,5.0,0.0219,3.45,32.08,7.0,"1,140.0M",Neutral 39.1,Oversold 1.9
KRETAM HOLDINGS BERHAD,1996, Main Market,Plantation ,0.365 - 0.855,-0.04,-32,-1.26,0.0,0.0,0.01,21.93,2.0,931.1M,Neutral 48.7,Neutral 66.7
MARINE & GENERAL BERHAD,5078, Main Market,Transportation & Logistics ,0.055 - 0.195,-32.0,-1,-5.68,0.0,0.0,0.45,23.49,0.0,57.9M,Neutral 56.3,Neutral 66.7
NEXTGREEN GLOBAL BERHAD,7241, Main Market,Industrial Products & Services ,0.330 - 0.640,1.04,168,0.29,0.0,0.0,1.75,7.93,6.0,229.5M,Neutral 55.8,Neutral 60.0
CCK CONSOLIDATED HOLDINGS BERHAD,7035, Main Market,Consumer Products & Services ,0.365 - 2.050,10.52,15,4.42,0.0,0.0,1.54,98.8,1.0,406.8M,Neutral 63.0,Neutral 60.9
PETRONAS CHEMICALS GROUP BERHAD,5183, Main Market,Industrial Products & Services ,7.930 - 10.200,16.34,15,62.24,32.0,0.0346,2.43,244.7,4.0,"74,000.0M",Neutral 61.1,Neutral 75.9
JAYCORP BERHAD,7152, Main Market,Consumer Products & Services ,0.750 - 1.200,9.77,8,11.33,8.0,8.33%,0.83,231.67,0.0,131.8M,Overbought 76.0,Overbought 93.3
REDTONE INTERNATIONAL BERHAD,0032, Ace Market,Telecommunications & Media ,0.150 - 0.330,9.07,17,1.81,0.0,0.00%,1.55,18.09,2.0,235.1M,Overbought 71.4,Overbought 85.2
ASDION BERHAD,0068, Ace Market,Technology ,0.155 - 0.535,-30.71,-13,-2.15,0.0,0.00%,3.93,9.78,3.0,32.0M,Neutral 61.6,Neutral 61.5
GLOMAC BERHAD,5020, Main Market,Property ,0.360 - 0.530,2.41,11,3.32,1.49,4.08%,0.27,35.57,1.0,292.0M,Neutral 43.5,Oversold 16.7
SAMCHEM HOLDINGS BERHAD,5147, Main Market,Industrial Products & Services ,0.600 - 1.150,14.81,8,7.85,2.0,3.31%,1.14,402.65,0.0,164.6M,Neutral 33.4,Oversold 10.0
SCIENTEX BERHAD,4731, Main Market,Industrial Products & Services ,6.510 - 9.480,14.28,16,53.82,20.0,2.36%,2.25,547.0,2.0,"4,366.9M",Neutral 42.8,Neutral 35.4
BERJAYA SPORTS TOTO BERHAD,1562, Main Market,Consumer Products & Services ,2.010 - 2.620,30.29,13,17.87,15.5,6.65%,3.95,415.66,1.0,"3,147.9M",Neutral 51.7,Neutral 38.9
MAGNI-TECH INDUSTRIES BERHAD,7087, Main Market,Consumer Products & Services ,3.880 - 5.520,19.39,8,62.05,23.0,4.72%,1.52,650.82,1.0,792.5M,Overbought 76.9,Overbought 87.8
SELANGOR PROPERTIES BERHAD,1783, Main Market,Property ,3.950 - 6.240,2.48,35,18.01,0.0,0.00%,0.86,50.24,12.0,"2,144.2M",Overbought 85.3,Overbought 100.0
CHOO BEE METAL INDUSTRIES BHD,5797, Main Market,Industrial Products & Services ,1.410 - 2.510,6.38,6,24.58,4.96,3.18%,0.41,379.87,0.0,205.4M,Neutral 47.4,Neutral 55.6
POH HUAT RESOURCES HOLDINGS BERHAD,7088, Main Market,Consumer Products & Services ,1.150 - 1.640,16.04,6,24.07,6.0,3.85%,1.04,281.59,1.0,364.0M,Neutral 43.6,Oversold 20.0
BERJAYA FOOD BERHAD,5196, Main Market,Consumer Products & Services ,1.280 - 1.840,5.81,27,6.05,4.0,2.48%,1.55,175.05,1.0,614.8M,Neutral 69.9,Neutral 78.1
POH KONG HOLDINGS BERHAD,5080, Main Market,Consumer Products & Services ,0.440 - 0.570,4.37,9,5.64,1.0,2.06%,0.38,254.63,0.0,199.0M,Neutral 51.6,Neutral 40.0
BERMAZ AUTO BERHAD,5248, Main Market,Consumer Products & Services ,1.800 - 2.470,47.1,10,22.56,15.75,6.73%,4.89,217.05,1.0,"2,721.6M",Neutral 69.1,Neutral 67.6
BERJAYA MEDIA BERHAD,6025, Main Market,Telecommunications & Media ,0.120 - 0.375,-410.5,-2,-8.21,0.0,0.00%,10.0,11.63,2.0,47.0M,Neutral 49.7,Neutral 52.4
KESM INDUSTRIES BERHAD,9334, Main Market,Technology ,7.410 - 20.060,5.55,18,46.27,18.5,2.17%,1.02,767.78,1.0,366.1M,Neutral 35.9,Neutral 32.0
SEACERA GROUP BERHAD,7073, Main Market,Industrial Products & Services ,0.155 - 0.720,-6.42,-4,-9.41,0.0,0.00%,0.25,5.04,7.0,171.2M,Neutral 61.2,Neutral 73.7
SUMATEC RESOURCES BERHAD,1201, Main Market,Energy ,0.005 - 0.075,-0.59,-8,-0.06,0.0,0.00%,0.05,0.07,7.0,21.3M,Neutral 43.1,Oversold 0.0
SAPURA RESOURCES BERHAD,4596, Main Market,Property ,0.600 - 1.120,-1.35,-14,-4.4,0.0,0.00%,0.19,34.99,2.0,88.6M,Neutral 47.4,Neutral 70.0
HAI-O ENTERPRISE BERHAD,7668, Main Market,Consumer Products & Services ,2.480 - 5.390,17.87,14,17.87,14.56,5.62%,2.59,122.9,2.0,777.8M,Oversold 23.2,Oversold 3.8
SAUDEE GROUP BERHAD,5157, Main Market,Consumer Products & Services ,0.280 - 0.475,-4.77,-14,-2.24,0.0,0.00%,0.67,53.87,1.0,41.7M,Neutral 50.7,Neutral 42.9
GEORGE KENT (MALAYSIA) BERHAD,3204, Main Market,Construction ,0.755 - 4.310,17.09,8,15.08,6.9,6.05%,1.29,76.47,1.0,642.1M,Neutral 53.3,Neutral 31.6
SAPURA ENERGY BERHAD,5218, Main Market,Energy ,0.255 - 0.910,16.9,25,1.3,0.04,0.12%,4.29,33.18,1.0,"5,273.1M",Neutral 53.6,Neutral 38.5
MYNEWS HOLDINGS BERHAD,5275, Main Market,Consumer Products & Services ,1.260 - 1.720,9.9,33,4.16,1.0,0.72%,3.31,62.29,2.0,948.2M,Neutral 53.7,Neutral 71.4
NEXGRAM HOLDINGS BERHAD,0096, Ace Market,Telecommunications & Media ,0.010 - 0.070,-0.38,-1,-2.78,0.0,0.00%,0.0,2.48,1.0,41.4M,Neutral 51.8,Overbought 100.0
MCE HOLDINGS BERHAD,7004, Main Market,Industrial Products & Services ,0.435 - 0.830,-4.39,-7,-8.73,0.0,0.00%,0.32,141.74,0.0,28.4M,Neutral 57.1,Neutral 61.1
TECHNODEX BHD,0132, Ace Market,Technology ,0.065 - 0.140,-17.0,-6,-1.19,0.0,0.00%,1.0,10.21,1.0,41.3M,Neutral 38.2,Neutral 33.3
SUBUR TIASA HOLDINGS BERHAD,6904, Main Market,Industrial Products & Services ,0.400 - 1.000,-3.84,-4,-12.11,0.0,0.00%,0.16,138.19,0.0,105.5M,Neutral 46.5,Oversold 5.3
SUPERLON HOLDINGS BERHAD,7235, Main Market,Industrial Products & Services ,0.995 - 1.610,8.0,18,6.25,1.14,1.02%,1.43,64.78,2.0,179.2M,Oversold 20.5,Oversold 6.7
TOP GLOVE CORPORATION BHD,7113, Main Market,Health Care ,4.300 - 12.480,17.34,27,16.99,5.93,1.31%,4.6,185.09,2.0,"11,548.2M",Neutral 43.8,Neutral 61.8
UNITED MALACCA BERHAD,2593, Main Market,Plantation ,5.120 - 6.530,-1.3,-58,-9.39,8.0,1.48%,0.75,99.94,5.0,"1,132.3M",Neutral 46.6,Neutral 40.0
SOLID AUTOMOTIVE BERHAD,5242, Main Market,Consumer Products & Services ,0.280 - 0.370,0.58,103,0.3,0.24,0.77%,0.6,35.2,1.0,121.5M,Neutral 53.4,Overbought 100.0
ANALABS RESOURCES BERHAD,7083, Main Market,Industrial Products & Services ,1.010 - 2.840,3.64,15,7.22,1.85,1.67%,0.56,115.5,1.0,133.3M,Neutral 43.5,Oversold 0.0
SAPURA INDUSTRIAL BERHAD,7811, Main Market,Industrial Products & Services ,0.690 - 0.900,4.04,14,5.82,4.0,5.00%,0.56,314.37,0.0,58.2M,Neutral 61.3,Overbought 100.0
BERJAYA LAND BERHAD,4219, Main Market,Consumer Products & Services ,0.180 - 0.365,-2.22,-14,-1.82,0.0,0.00%,0.32,123.72,0.0,"1,300.1M",Neutral 40.2,Oversold 14.3
DPI HOLDINGS BERHAD,0205, Ace Market,Consumer Products & Services ,0.190 - 0.350,4.0,34,0.56,0.0,0.00%,1.36,4.15,5.0,92.5M,Oversold 22.5,Oversold 0.0
JAYCORP BERHAD,7152, Main Market,Consumer Products & Services ,0.750 - 1.010,9.77,8,11.33,8.0,8.42%,0.82,231.67,0.0,130.4M,Neutral 64.8,Neutral 62.5
REDTONE INTERNATIONAL BERHAD,0032, Ace Market,Telecommunications & Media ,0.150 - 0.335,9.07,16,1.81,0.0,0.00%,1.43,18.09,2.0,216.1M,Neutral 62.4,Neutral 58.3
ASDION BERHAD,0068, Ace Market,Technology ,0.155 - 0.535,-30.71,-12,-2.15,0.0,0.00%,3.79,9.78,3.0,30.8M,Neutral 53.4,Neutral 30.0
GLOMAC BERHAD,5020, Main Market,Property ,0.360 - 0.530,2.41,11,3.32,1.49,4.08%,0.27,35.57,1.0,292.0M,Neutral 44.1,Neutral 25.0
SAMCHEM HOLDINGS BERHAD,5147, Main Market,Industrial Products & Services ,0.595 - 1.150,14.81,8,7.85,2.0,3.33%,1.13,402.65,0.0,163.2M,Neutral 34.9,Oversold 14.3
SCIENTEX BERHAD,4731, Main Market,Industrial Products & Services ,6.510 - 9.480,14.28,16,53.82,20.0,2.35%,2.25,547.0,2.0,"4,372.0M",Neutral 44.1,Neutral 56.3
BERJAYA SPORTS TOTO BERHAD,1562, Main Market,Consumer Products & Services ,2.010 - 2.620,30.29,13,17.87,15.5,6.68%,3.93,415.65,1.0,"3,134.4M",Neutral 50.1,Neutral 42.9
MAGNI-TECH INDUSTRIES BERHAD,7087, Main Market,Consumer Products & Services ,3.880 - 5.520,19.39,8,62.05,23.0,4.89%,1.47,650.82,1.0,764.8M,Neutral 57.1,Neutral 43.2
SELANGOR PROPERTIES BERHAD,1783, Main Market,Property ,3.950 - 6.240,2.48,35,18.01,0.0,0.00%,0.86,50.24,12.0,"2,140.7M",Overbought 83.2,Neutral 50.0
CHOO BEE METAL INDUSTRIES BHD,5797, Main Market,Industrial Products & Services ,1.410 - 2.480,6.38,6,24.58,4.96,3.14%,0.41,379.87,0.0,208.1M,Neutral 43.1,Neutral 25.0
POH HUAT RESOURCES HOLDINGS BERHAD,7088, Main Market,Consumer Products & Services ,1.150 - 1.640,16.04,6,24.07,6.0,3.95%,1.01,281.59,1.0,354.7M,Neutral 33.2,Oversold 0.0
BERJAYA FOOD BERHAD,5196, Main Market,Consumer Products & Services ,1.280 - 1.840,5.81,26,6.05,4.0,2.52%,1.53,175.05,1.0,607.2M,Neutral 68.3,Neutral 77.8
POH KONG HOLDINGS BERHAD,5080, Main Market,Consumer Products & Services ,0.440 - 0.570,4.37,9,5.64,1.0,2.06%,0.38,254.63,0.0,199.0M,Neutral 47.8,Oversold 20.0
BERMAZ AUTO BERHAD,5248, Main Market,Consumer Products & Services ,1.800 - 2.470,47.1,10,22.56,15.75,6.79%,4.84,217.05,1.0,"2,698.4M",Neutral 63.1,Neutral 58.1
BERJAYA MEDIA BERHAD,6025, Main Market,Telecommunications & Media ,0.120 - 0.375,-410.5,-2,-8.21,0.0,0.00%,7.5,11.63,1.0,35.3M,Neutral 43.2,Oversold 12.5
KESM INDUSTRIES BERHAD,9334, Main Market,Technology ,7.410 - 19.500,5.55,19,46.27,18.5,2.15%,1.03,767.78,1.0,369.9M,Neutral 38.5,Neutral 34.5
APOLLO FOOD HOLDINGS BERHAD,6432, Main Market,Consumer Products & Services ,3.550 - 4.560,6.26,21,18.9,20.0,5.15%,1.28,233.85,2.0,310.4M,Neutral 49.8,Neutral 25.0
BERJAYA CORPORATION BERHAD,3395, Main Market,Industrial Products & Services ,0.245 - 0.395,-2.9,-7,-3.72,0.0,0.00%,0.21,158.3,0.0,"1,408.0M",Neutral 46.8,Neutral 71.4
LB ALUMINIUM BERHAD,9326, Main Market,Industrial Products & Services ,0.440 - 0.680,3.04,14,3.68,1.0,1.94%,0.43,218.02,0.0,128.0M,Neutral 55.0,Neutral 41.2
GREENYIELD BERHAD,0136, Main Market,Consumer Products & Services ,0.105 - 0.200,1.2,65,0.2,0.0,0.00%,0.78,12.11,1.0,43.4M,Neutral 48.2,Neutral 25.0
JKG LAND BERHAD,6769, Main Market,Property ,0.070 - 0.100,0.45,87,0.09,0.0,0.00%,0.4,3.37,2.0,182.0M,Neutral 58.6,Neutral 50.0
SYF RESOURCES BERHAD,7082, Main Market,Consumer Products & Services ,0.210 - 0.370,-8.73,-6,-3.93,1.25,5.68%,0.49,36.27,1.0,136.2M,Neutral 44.7,Oversold 0.0
ECO WORLD DEVELOPMENT GROUP BERHAD,8206, Main Market,Property ,0.890 - 1.450,3.95,16,5.84,0.0,0.00%,0.63,70.9,1.0,"2,738.3M",Neutral 49.0,Neutral 60.0
ECO WORLD INTERNATIONAL BERHAD,5283, Main Market,Property ,0.665 - 1.150,2.94,24,3.09,0.0,0.00%,0.71,0.2,366.0,"1,788.0M",Neutral 43.6,Oversold 11.1
KEIN HING INTERNATIONAL BERHAD,7199, Main Market,Industrial Products & Services ,0.470 - 0.630,2.72,18,2.77,1.0,2.00%,0.49,215.88,0.0,54.4M,Neutral 68.0,Overbought 96.6
CYL CORPORATION BERHAD,7157, Main Market,Industrial Products & Services ,0.400 - 0.690,-2.94,-23,-1.84,0.0,0.00%,0.67,53.46,1.0,42.0M,Neutral 41.4,Oversold 14.3
MINTYE BERHAD,5886, Main Market,Consumer Products & Services ,0.800 - 1.000,1.49,29,2.75,0.0,0.00%,0.43,73.1,1.0,48.6M,Neutral 40.7,Neutral 50.0
GAMUDA BERHAD,5398, Main Market,Construction ,2.000 - 5.240,5.68,16,18.02,12.0,4.18%,0.91,181.57,2.0,"7,083.7M",Neutral 51.5,Neutral 52.6
YINSON HOLDINGS BERHAD,7293, Main Market,Energy ,3.750 - 4.950,13.61,21,21.78,6.0,1.31%,2.87,94.65,5.0,"5,018.8M",Neutral 63.8,Neutral 55.2
VISDYNAMICS HOLDINGS BERHAD,0120, Ace Market,Technology ,0.290 - 0.795,17.39,10,4.26,1.0,2.35%,1.74,21.82,2.0,71.9M,Neutral 32.2,Oversold 8.7
HIAP TECK VENTURE BERHAD,5072, Main Market,Industrial Products & Services ,0.220 - 0.465,-1.65,-25,-1.02,0.5,1.92%,0.42,85.33,0.0,349.5M,Neutral 36.7,Oversold 7.1
XIAN LENG HOLDINGS BERHAD,7121, Main Market,Consumer Products & Services ,0.400 - 0.615,-1.84,-37,-1.16,0.0,0.00%,0.68,16.22,3.0,34.4M,Neutral 45.3,Neutral 50.0
ANZO HOLDINGS BERHAD,9342, Main Market,Industrial Products & Services ,0.035 - 0.065,-2.53,-10,-0.42,0.0,0.00%,0.24,0.71,6.0,35.2M,Neutral 51.7,Overbought 100.0
SMTRACK BERHAD,0169, Ace Market,Technology ,0.055 - 0.150,-39.47,-3,-3.2,0.0,0.00%,1.17,1.29,7.0,13.9M,Neutral 60.1,Neutral 71.4
A-RANK BERHAD,7214, Main Market,Industrial Products & Services ,0.500 - 0.915,10.21,7,7.76,2.3,4.38%,0.69,288.62,0.0,89.0M,Neutral 49.9,Neutral 33.3
KOMARKCORP BERHAD,7017, Main Market,Industrial Products & Services ,0.120 - 0.290,-39.16,-2,-12.56,0.0,0.00%,0.87,30.74,1.0,46.0M,Overbought 76.7,Overbought 85.0
ASTRO MALAYSIA HOLDINGS BERHAD,6399, Main Market,Telecommunications & Media ,1.050 - 2.090,79.14,17,8.88,9.0,5.88%,13.64,105.08,1.0,"7,977.9M",Neutral 44.9,Neutral 38.5
CRESCENDO CORPORATION BERHAD,6718, Main Market,Property ,1.190 - 1.400,4.15,10,13.33,6.0,4.58%,0.41,105.4,1.0,367.4M,Neutral 54.8,Neutral 40.0
COMFORT GLOVES BERHAD,2127, Main Market,Industrial Products & Services ,0.690 - 1.100,10.12,17,4.96,0.0,0.00%,1.77,84.33,1.0,486.1M,Neutral 56.4,Overbought 88.9
WONG ENGINEERING CORPORATION BERHAD,7050, Main Market,Industrial Products & Services ,0.515 - 1.100,7.31,13,4.14,1.6,2.88%,0.98,52.93,1.0,63.6M,Neutral 43.1,Neutral 47.1
TECK GUAN PERDANA BERHAD,7439, Main Market,Consumer Products & Services ,0.695 - 1.550,5.19,22,6.35,0.0,0.00%,1.15,752.93,0.0,56.5M,Overbought 70.4,Neutral 75.9
KUMPULAN H & L HIGH-TECH BERHAD,7033, Main Market,Industrial Products & Services ,1.110 - 1.680,2.99,16,7.57,3.5,2.92%,0.47,57.95,2.0,48.7M,Neutral 37.9,Neutral 45.0
PROLEXUS BERHAD,8966, Main Market,Consumer Products & Services ,0.500 - 0.850,1.4,31,1.8,0.5,0.91%,0.43,188.17,0.0,99.2M,Neutral 35.1,Neutral 20.8
SCGM BHD,7247, Main Market,Industrial Products & Services ,1.000 - 1.910,1.31,95,1.12,1.25,1.18%,1.24,112.14,1.0,205.2M,Oversold 26.7,Neutral 23.5
KIM LOONG RESOURCES BERHAD,5027, Main Market,Plantation ,1.130 - 4.340,7.12,21,5.57,5.97,5.06%,1.51,93.32,1.0,"1,103.8M",Oversold 28.2,Oversold 0.0
V.S. INDUSTRY BERHAD,6963, Main Market,Industrial Products & Services ,0.630 - 2.440,8.78,14,7.56,3.41,3.19%,1.24,217.45,0.0,"1,943.2M",Neutral 60.2,Overbought 85.2
SAPURA RESOURCES BERHAD,4596, Main Market,Property ,0.600 - 1.120,-1.35,-14,-4.4,0.0,0.00%,0.19,34.99,2.0,85.9M,Neutral 42.8,Neutral 30.0
HAI-O ENTERPRISE BERHAD,7668, Main Market,Consumer Products & Services ,2.480 - 5.390,17.35,14,17.87,15.0,5.88%,2.48,122.9,2.0,765.8M,Oversold 21.7,Oversold 8.7
SAUDEE GROUP BERHAD,5157, Main Market,Consumer Products & Services ,0.280 - 0.475,-4.77,-14,-2.24,0.0,0.00%,0.68,53.87,1.0,42.4M,Neutral 53.3,Neutral 57.1
GEORGE KENT (MALAYSIA) BERHAD,3204, Main Market,Construction ,0.755 - 4.240,17.09,8,15.08,6.9,6.05%,1.29,76.47,1.0,642.1M,Neutral 53.1,Neutral 42.9
SAPURA ENERGY BERHAD,5218, Main Market,Energy ,0.255 - 0.910,16.9,25,1.3,0.04,0.12%,4.29,33.18,1.0,"5,273.1M",Neutral 50.6,Neutral 25.0
MYNEWS HOLDINGS BERHAD,5275, Main Market,Consumer Products & Services ,1.260 - 1.720,9.9,32,4.16,1.0,0.75%,3.19,62.29,2.0,914.1M,Neutral 44.5,Oversold 14.3
MCE HOLDINGS BERHAD,7004, Main Market,Industrial Products & Services ,0.435 - 0.830,-4.39,-8,-8.73,0.0,0.00%,0.36,141.74,1.0,31.5M,Neutral 68.8,Overbought 87.5
TECHNODEX BHD,0132, Ace Market,Technology ,0.065 - 0.135,-17.0,-6,-1.19,0.0,0.00%,1.07,10.21,1.0,44.3M,Neutral 46.2,Neutral 66.7
SUBUR TIASA HOLDINGS BERHAD,6904, Main Market,Industrial Products & Services ,0.400 - 1.000,-3.84,-4,-12.11,0.0,0.00%,0.16,138.19,0.0,104.5M,Neutral 45.4,Oversold 0.0
SUPERLON HOLDINGS BERHAD,7235, Main Market,Industrial Products & Services ,0.995 - 1.610,8.0,18,6.25,1.14,1.02%,1.43,64.78,2.0,179.2M,Oversold 22.5,Oversold 7.4
TOP GLOVE CORPORATION BHD,7113, Main Market,Health Care ,4.300 - 12.480,17.34,27,16.99,5.93,1.30%,4.66,185.09,2.0,"11,701.9M",Neutral 49.0,Overbought 96.6
UNITED MALACCA BERHAD,2593, Main Market,Plantation ,5.120 - 6.530,-1.3,-58,-9.39,8.0,1.47%,0.75,99.94,5.0,"1,142.8M",Neutral 51.0,Neutral 71.4
ANALABS RESOURCES BERHAD,7083, Main Market,Industrial Products & Services ,1.010 - 2.840,3.64,15,7.22,1.85,1.68%,0.55,115.5,1.0,132.1M,Neutral 42.4,Oversold 0.0
SAPURA INDUSTRIAL BERHAD,7811, Main Market,Industrial Products & Services ,0.690 - 0.900,4.04,13,5.82,4.0,5.26%,0.53,314.37,0.0,55.3M,Neutral 54.2,Neutral 60.0
BERJAYA LAND BERHAD,4219, Main Market,Consumer Products & Services ,0.180 - 0.365,-2.22,-14,-1.82,0.0,0.00%,0.3,123.72,0.0,"1,250.1M",Neutral 34.3,Oversold 11.1
DPI HOLDINGS BERHAD,0205, Ace Market,Consumer Products & Services ,0.185 - 0.350,4.0,34,0.56,0.0,0.00%,1.36,4.15,5.0,92.5M,Oversold 22.5,Oversold 14.3
JAYCORP BERHAD,7152, Main Market,Consumer Products & Services ,0.750 - 1.010,9.77,8,11.33,8.0,8.47%,0.81,231.67,0.0,129.7M,Neutral 62.9,Neutral 58.1
