full name,code,Sector_main,sector,52w,ROE,P/E,EPS,DPS,DY,PTBV,RPS,PSR,Market_Cap,RSI,Stochastic
LION INDUSTRIES CORPORATION BERHAD,4235, Main Market,Industrial Products & Services ,0.450 - 1.300,3.35,6,9.0,0.0,0.0,0.21,486.9,0.0,402.0M,Neutral 53.8,Neutral 68.4
IHH HEALTHCARE BERHAD,5225, Main Market,Health Care ,4.540 - 6.420,2.85,82,7.16,0.0,0.0,2.34,131.38,4.0,"51,563.5M",Neutral 61.0,Overbought 84.4
PARAGON UNION BERHAD,9407, Main Market,Consumer Products & Services ,0.230 - 0.380,-0.2,-208,-0.12,0.0,0.0,0.41,73.51,0.0,17.5M,Neutral 44.4,Oversold 0.0
MASTER-PACK GROUP BERHAD,7029, Main Market,Industrial Products & Services ,0.545 - 0.730,6.31,6,10.54,0.0,0.0,0.4,266.54,0.0,36.9M,Neutral 68.2,Neutral 68.8
MYCRON STEEL BERHAD,5087, Main Market,Industrial Products & Services ,0.225 - 0.530,0.7,35,0.84,0.0,0.0,0.24,244.47,0.0,94.8M,Neutral 57.3,Overbought 100.0
PNE PCB BERHAD,6637, Main Market,Industrial Products & Services ,0.450 - 0.570,-3.35,-32,-1.71,0.0,0.0,1.06,69.71,1.0,71.0M,Neutral 53.3,Overbought 90.0
YTL CORPORATION BERHAD,4677, Main Market,Utilities ,0.915 - 1.480,1.94,45,2.42,3.88,0.0359,0.87,152.82,1.0,"11,783.4M",Neutral 48.0,Neutral 42.9
RIMBUNAN SAWIT BERHAD,5113, Main Market,Plantation ,0.140 - 0.330,-33.8,-2,-10.14,0.0,0.0,0.65,23.68,1.0,276.6M,Neutral 49.9,Neutral 40.0
FACB INDUSTRIES INCORPORATED BERHAD,2984, Main Market,Industrial Products & Services ,1.050 - 1.520,-0.29,-174,-0.76,0.0,0.0,0.51,44.59,3.0,111.6M,Neutral 63.9,Overbought 84.6
K-ONE TECHNOLOGY BERHAD,0111, Ace Market,Technology ,0.130 - 0.350,5.93,30,0.77,0.0,0.0,1.77,10.12,2.0,167.7M,Neutral 45.1,Oversold 12.5
KUMPULAN FIMA BERHAD,6491, Main Market,Industrial Products & Services ,1.410 - 1.760,7.55,8,21.14,9.0,0.0542,0.59,165.24,1.0,468.5M,Neutral 65.8,Overbought 100.0
YLI HOLDINGS BERHAD,7014, Main Market,Industrial Products & Services ,0.200 - 0.445,-15.53,-1,-20.04,0.0,0.0,0.2,114.22,0.0,26.8M,Neutral 50.5,Neutral 28.6
CREST BUILDER HOLDINGS BERHAD,8591, Main Market,Construction ,0.790 - 1.100,13.86,3,39.78,0.0,0.0,0.35,336.54,0.0,176.9M,Neutral 68.0,Neutral 63.6
SELANGOR DREDGING BERHAD,2224, Main Market,Property ,0.600 - 0.960,1.18,27,2.44,2.5,0.0382,0.32,60.77,1.0,279.1M,Neutral 48.3,Neutral 25.0
LIEN HOE CORPORATION BERHAD,3573, Main Market,Property ,0.270 - 0.480,-6.96,-3,-9.82,0.0,0.0,0.2,9.31,3.0,101.3M,Neutral 45.7,Neutral 66.7
DOMINANT ENTERPRISE BERHAD,7169, Main Market,Industrial Products & Services ,1.210 - 1.390,12.41,6,20.48,7.0,0.0556,0.76,443.34,0.0,208.2M,Neutral 47.7,Neutral 33.3
TA WIN HOLDINGS BERHAD,7097, Main Market,Industrial Products & Services ,0.405 - 0.690,-5.38,-9,-4.79,0.0,0.0,0.51,474.3,0.0,36.2M,Neutral 42.1,Neutral 52.6
FCW HOLDINGS BERHAD,2755, Main Market,Consumer Products & Services ,0.730 - 1.060,0.03,4322,0.02,10.0,0.098,1.5,11.61,9.0,255.0M,Overbought 85.4,Overbought 87.9
FEDERAL INTERNATIONAL HOLDINGS BERHAD,8605, Main Market,Consumer Products & Services ,0.280 - 0.485,5.96,7,5.47,0.0,0.0,0.44,150.9,0.0,44.1M,Neutral 62.1,Neutral 73.7
YTL LAND & DEVELOPMENT BERHAD,2577, Main Market,Property ,0.370 - 0.505,-17.45,-2,-15.88,0.0,0.0,0.43,26.98,1.0,329.3M,Neutral 44.0,Oversold 0.0
FITTERS DIVERSIFIED BERHAD,9318, Main Market,Industrial Products & Services ,0.365 - 0.560,4.01,16,3.22,0.0,0.0,0.64,72.99,1.0,247.5M,Neutral 63.6,Neutral 50.0
JAYA TIASA HOLDINGS BHD,4383, Main Market,Plantation ,0.430 - 0.960,-9.63,-4,-13.38,0.5,0.0086,0.42,74.95,1.0,564.8M,Neutral 49.8,Neutral 50.0
APB RESOURCES BERHAD,5568, Main Market,Industrial Products & Services ,0.725 - 0.880,-5.38,-10,-7.53,0.0,0.0,0.52,63.63,1.0,82.4M,Neutral 34.1,Oversold 5.9
TH PLANTATIONS BERHAD,5112, Main Market,Plantation ,0.455 - 0.950,-74.74,-1,-67.27,0.0,0.0,0.57,58.76,1.0,450.8M,Neutral 36.1,Oversold 0.0
TSH RESOURCES BERHAD,9059, Main Market,Plantation ,0.960 - 1.590,2.93,38,2.9,0.0,0.0,1.11,65.59,2.0,"1,520.0M",Neutral 49.8,Neutral 61.5
MAH SING GROUP BERHAD,8583, Main Market,Property ,0.890 - 1.320,7.77,8,11.19,0.0,0.0,0.66,90.33,1.0,"2,294.2M",Neutral 44.1,Oversold 15.0
TRC SYNERGY BERHAD,5054, Main Market,Construction ,0.405 - 0.725,5.05,12,4.34,0.0,0.0,0.62,155.47,0.0,257.1M,Neutral 44.5,Neutral 21.4
VERTICE BERHAD,7240, Main Market,Consumer Products & Services ,0.750 - 1.130,-2.27,-51,-1.77,0.0,0.0,1.17,130.38,1.0,170.1M,Neutral 55.0,Neutral 52.2
EKSONS CORPORATION BERHAD,9016, Main Market,Industrial Products & Services ,0.675 - 0.990,-2.24,-13,-6.09,5.0,0.061,0.3,63.06,1.0,134.7M,Neutral 55.5,Neutral 50.0
HAP SENG CONSOLIDATED BERHAD,3034, Main Market,Industrial Products & Services ,9.270 - 10.200,16.32,21,46.01,35.0,0.0356,3.48,250.9,4.0,"24,448.7M",Neutral 44.0,Neutral 43.5
OMESTI BERHAD,9008, Main Market,Technology ,0.335 - 0.520,-76.68,-1,-25.84,0.0,0.0,1.1,56.06,1.0,176.7M,Neutral 40.4,Neutral 28.6
GRAND HOOVER BERHAD,7010, Main Market,Property ,0.500 - 0.835,-3.81,-14,-4.34,0.0,0.0,0.53,149.47,0.0,24.0M,Neutral 45.1,Neutral 30.3
P.I.E. INDUSTRIAL BERHAD,7095, Main Market,Industrial Products & Services ,1.230 - 1.770,10.03,15,11.23,0.0,0.0,1.48,172.18,1.0,637.5M,Neutral 60.6,Overbought 90.9
PROTASCO BERHAD,5070, Main Market,Construction ,0.190 - 1.030,-14.55,-3,-9.8,0.0,0.0,0.37,180.13,0.0,123.8M,Neutral 48.6,Neutral 50.0
S P SETIA BERHAD,8664, Main Market,Property ,1.930 - 3.300,1.9,13,16.95,3.88,0.0172,0.25,90.78,2.0,"8,906.8M",Neutral 35.2,Neutral 20.5
KIM TECK CHEONG CONSOLIDATED BERHAD,0180, Ace Market,Consumer Products & Services ,0.125 - 0.205,-3.57,-23,-0.75,0.0,0.0,0.81,110.24,0.0,86.7M,Neutral 49.9,Neutral 25.0
GUNUNG CAPITAL BERHAD,7676, Main Market,Transportation & Logistics ,0.280 - 0.450,-0.21,-320,-0.09,0.0,0.0,0.68,12.04,2.0,68.5M,Neutral 40.1,Oversold 5.6
NOVA WELLNESS GROUP BERHAD,0201, Ace Market,Health Care ,0.280 - 0.820,11.05,20,2.43,2.3,0.0469,2.23,8.03,6.0,155.7M,Neutral 55.6,Oversold 14.3
BINTULU PORT HOLDINGS BERHAD,5032, Main Market,Transportation & Logistics ,4.400 - 6.000,11.15,15,30.88,14.0,0.0304,1.66,149.16,3.0,"2,116.0M",Neutral 55.0,Neutral 66.7
JERASIA CAPITAL BERHAD,8931, Main Market,Consumer Products & Services ,0.335 - 0.460,6.35,3,11.94,0.5,0.0137,0.19,581.41,0.0,29.9M,Neutral 51.6,Neutral 66.7
RHB BANK BERHAD,1066, Main Market,Financial Services ,4.990 - 5.940,9.88,10,57.49,7.5,0.0135,0.96,298.06,2.0,"22,295.9M",Neutral 50.4,Neutral 25.5
MEDIA PRIMA BERHAD,4502, Main Market,Telecommunications & Media ,0.250 - 0.600,7.26,10,5.29,0.0,0.0,0.7,106.9,0.0,565.7M,Overbought 70.8,Overbought 80.8
,03016, Leap Market,Consumer Products & Services ,0.005 - 0.085,5.23,10,0.45,0.0,0.0,0.52,7.16,1.0,36.3M,Neutral 56.6,Overbought 100.0
JHM CONSOLIDATION BERHAD,0127, Ace Market,Technology ,0.700 - 1.520,19.18,18,6.33,1.5,0.0132,3.45,47.51,2.0,635.7M,Neutral 56.9,Neutral 47.4
STRAITS INTER LOGISTICS BERHAD,0080, Ace Market,Trad/Serv ,0.210 - 0.285,4.28,37,0.65,0.0,0.0,1.58,40.98,1.0,149.8M,Neutral 51.3,Neutral 45.5
CN ASIA CORPORATION BHD,7986, Main Market,Industrial Products & Services ,0.400 - 0.900,3.92,12,3.57,0.0,0.0,0.48,44.84,1.0,19.7M,Neutral 48.2,Neutral 58.3
MEGA FIRST CORPORATION BERHAD,3069, Main Market,Utilities ,2.990 - 3.990,9.08,12,30.96,2.0,0.0052,1.12,209.36,2.0,"1,599.1M",Neutral 55.8,Neutral 47.1
MEDA INC. BERHAD,5040, Main Market,Property ,0.265 - 0.500,-19.92,-6,-4.78,0.0,0.0,1.25,2.63,11.0,147.8M,Neutral 49.9,Overbought 80.0
