name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
SAPNRGC68: CW SAPURA ENERGY BERHAD (RHB),521868,22-Mar-19,7:12 PM,-,-,-,0.005,0,0.000 / 0,0.000 / 0
SAPNRGC69: CW SAPURA ENERGY BERHAD (MACQ),521869,22-Mar-19,7:12 PM,-,-,-,0.005,0,0.000 / 0,"0.005 / 4,100"
SAPNRGC70: CW SAPURA ENERGY BERHAD (MIBB),521870,22-Mar-19,7:12 PM,-,-,-,0.07,0,0.000 / 0,0.070 / 50
SAPNRGC71: CW SAPURA ENERGY BERHAD (KIBB),521871,22-Mar-19,7:12 PM,-,-,-,0.01,0,0.000 / 0,0.000 / 0
SAPNRGC72: CW SAPURA ENERGY BERHAD (MACQ),521872,22-Mar-19,7:12 PM,-,-,-,0.01,0,0.000 / 0,"0.015 / 1,894"
SAPNRGC73: CW SAPURA ENERGY BERHAD (MACQ),521873,22-Mar-19,7:12 PM,-,-,-,0.035,0,0.030 / 500,"0.045 / 2,199"
SAPNRGC74: CW SAPURA ENERGY BERHAD (KIBB),521874,22-Mar-19,7:12 PM,0.035,0.035,0.035,0.035,"1,400","0.015 / 1,000","0.040 / 4,105"
SAPNRGC75: CW SAPURA ENERGY BERHAD (KIBB),521875,22-Mar-19,7:12 PM,0.09,0.09,0.095,0.09,"10,500","0.085 / 22,055",0.000 / 0
SAPNRGC76: CW SAPURA ENERGY BERHAD (MACQ),521876,22-Mar-19,7:12 PM,0.085,0.085,0.085,0.085,"20,000","0.080 / 35,557","0.085 / 1,000"
SAPURA RESOURCES BHD,4596,22-Mar-19,7:12 PM,0.62,0.62,0.62,0.62,20,0.620 / 20,0.645 / 20
SASBADI HOLDINGS BHD,5252,22-Mar-19,7:12 PM,0.245,0.235,0.245,0.245,"29,444","0.240 / 5,507","0.245 / 8,676"
SAUDEE GROUP BERHAD,5157,22-Mar-19,7:12 PM,0.315,0.315,0.315,0.315,400,"0.310 / 1,150",0.315 / 100
SAUDEE GROUP BERHAD - WARRANTS 2016/2021,5157WA,22-Mar-19,7:12 PM,0.12,0.12,0.12,0.12,500,0.110 / 300,"0.120 / 1,000"
SUNGEI BAGAN RUBBER CO (M) BHD,2569,22-Mar-19,7:12 PM,-,-,-,2.92,0,2.870 / 100,2.980 / 20
