date,AIRPORT-C2: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (RHB),AIRPORT-C3: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (AM),AIRPORT-C4: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (CIMB),AIRPORT-C5: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (MACQ),AIRPORT-C6: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (RHB),AIRPORT-C7: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (KIBB),AIRPORT-C8: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (MIBB),MISC-C19: CW MISC BERHAD (CIMB),MISC-C20: CW MISC BERHAD (MACQ),MISC-C21: CW MISC BERHAD (RHB),MISC-C22: CW MISC BERHAD (KIBB),MMCCORPC12: CW MMC CORPORATION BERHAD (MACQ),MMCCORPC13: CW MMC CORPORATION BERHAD (KIBB),POS-C21: CW POS MALAYSIA BERHAD (MACQ),POS-C22: CW POS MALAYSIA BERHAD (CIMB),POS-C23: CW POS MALAYSIA BERHAD (MIBB),POS-C24: CW POS MALAYSIA BERHAD (AM),POS-C25: CW POS MALAYSIA BERHAD (RHB),POS-C26: CW POS MALAYSIA BERHAD (KIBB),POS-C27: CW POS MALAYSIA BERHAD (CIMB),POS-C28: CW POS MALAYSIA BERHAD (MACQ),POS-C29: CW POS MALAYSIA BERHAD (MACQ),POS-C30: CW POS MALAYSIA BERHAD (RHB),POS-C31: CW POS MALAYSIA BERHAD (MACQ),POS-C32: CW POS MALAYSIA BERHAD (KIBB),POS-C33: CW POS MALAYSIA BERHAD (CIMB),POS-C34: CW POS MALAYSIA BERHAD (MIBB),WPRTS-CX: CW WESTPORTS HOLDINGS BERHAD (RHB),WPRTS-CY: CW WESTPORTS HOLDINGS BERHAD (CIMB),WPRTS-CZ: CW WESTPORTS HOLDINGS BERHAD (KIBB)
2019-03-25,0.0,,-0.2857142857142857,0.0,-0.375,-0.2,,-0.06451612903225812,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11111111111111106,-0.12499999999999993,0.0,-0.09090909090909087,0.0,0.0,0.0,
2019-03-26,0.0,,0.0,-0.4545454545454546,0.0,-0.1666666666666666,,-0.034482758620689495,0.0,0.0,-0.3333333333333333,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1111111111111112,
2019-03-27,,,0.0,0.0,0.0,0.0,,0.0,-0.11111111111111106,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2019-03-28,,,0.0,0.0,0.0,0.09999999999999996,,0.0,0.0,0.0,0.0,-0.09090909090909087,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2019-03-29,,,0.0,0.0,0.0,-0.09090909090909087,-0.3,0.0,-0.06250000000000007,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999991,-0.055555555555555455,0.0,0.08333333333333341,
2019-04-01,,,0.0,0.0,0.0,-0.10000000000000007,0.0,0.0,0.0,0.0,0.0,0.09999999999999996,-0.5333333333333333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04761904761904753,0.0,0.0,-0.11538461538461538,0.0
2019-04-02,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.06666666666666654,0.0,0.0,0.0,0.07142857142857129,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-03,,,-0.20000000000000004,0.0,0.0,-0.11111111111111106,-0.23809523809523805,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07142857142857148,0.0,-0.10000000000000007,0.0,0.0,0.08695652173913039,0.0
2019-04-04,,,0.2500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06666666666666654,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555562,-0.11764705882352952,0.0,0.0,0.0
2019-04-05,,,0.0,0.0,0.0,0.12499999999999993,0.0,-0.03571428571428574,0.0,0.0,0.0,-0.18181818181818185,-0.07142857142857148,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736847,0.0,0.0,0.0,0.0
2019-04-08,,,-0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05000000000000005,0.0,0.0,0.0,0.0
2019-04-09,,,0.0,0.0,0.0,0.0,-0.1875,0.0,0.0,0.0,0.0,0.22222222222222227,0.07692307692307697,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615374,0.0,0.3157894736842105,0.06666666666666674,0.0,0.0,0.0
2019-04-10,,,0.3333333333333334,0.0,0.0,-0.4444444444444444,-0.15384615384615388,-0.03703703703703707,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07999999999999996,0.0,0.0,0.0,0.0
2019-04-11,,,-0.2500000000000001,-0.3333333333333333,0.0,0.0,-0.09090909090909087,0.038461538461538484,0.0,0.0,0.0,-0.09090909090909087,-0.07142857142857148,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-0.06666666666666654,0.0,-0.0869565217391305,0.0,0.0,0.0,0.0
2019-04-12,,,0.0,0.0,-0.26666666666666666,0.0,0.1999999999999999,0.03703703703703707,0.0,0.0,0.0,0.3,0.15384615384615374,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809533,0.0,0.0,0.0,0.0
