full name,name,category,52w,ROE,P/E,EPS,DPS,DY,PTBV,RPS,PSR,Market_Cap,RSI,Stochastic
Y.S.P.SOUTHEAST ASIA HOLDING BERHAD,"YSPSAH (7178) [s]
Y.S.P.SOUTHEAST ASIA HOLDING BERHAD Summary",Health Care - Main Market,2.330 - 3.390,9.62,13,21.94,0,0,1.27,208.71,1,401.2M,Neutral 58.7,Neutral 65.2
TSR CAPITAL BERHAD,"TSRCAP (5042) [s]
TSR CAPITAL BERHAD Summary",Construction - Main Market,0.295 - 0.580,-0.89,-43,-0.93,0,0,0.38,151.83,0,69.8M,Neutral 48.4,Oversold 11.1
PARKSON HOLDINGS BERHAD,"PARKSON (5657) [s]
PARKSON HOLDINGS BERHAD Summary",Consumer Products & Services - Main Market,0.225 - 0.650,-5.96,-2,-11.63,0,0,0.13,363.74,0,273.5M,Neutral 52.9,Neutral 55.6
SCANWOLF CORPORATION BERHAD,"SCNWOLF (7239) [s]
SCANWOLF CORPORATION BERHAD Summary",Industrial Products & Services - Main Market,0.140 - 0.350,-16.51,-3,-6.44,0,0,0.45,50.87,0,16.8M,Neutral 52.3,Overbought 87.5
METROD HOLDINGS BERHAD,"METROD (6149)
METROD HOLDINGS BERHAD Summary",Industrial Products & Services - Main Market,1.540 - 1.800,2.15,22,7.58,6,0.0353,0.48,2389.58,0,204.0M,Neutral 55.2,Neutral 76.2
SPRITZER BHD,"SPRITZER (7103) [s]
SPRITZER BHD Summary",Consumer Products & Services - Main Market,2.000 - 2.460,6.23,19,11.54,0,0,1.18,165.57,1,457.8M,Neutral 58.8,Overbought 81.8
OPCOM HOLDINGS BERHAD,"OPCOM (0035) [s]
OPCOM HOLDINGS BERHAD Summary",Telecommunications & Media - Ace Market,0.325 - 1.170,7.66,15,4.24,1.25,0.0192,1.17,55.92,1,104.8M,Neutral 47.8,Neutral 26.9
AJINOMOTO (MALAYSIA) BERHAD,"AJI (2658) [s]
AJINOMOTO (MALAYSIA) BERHAD Summary",Consumer Products & Services - Main Market,17.740 - 25.500,13.11,19,97.77,46.5,0.025,2.49,729.13,3,"1,130.9M",Neutral 46.3,Neutral 23.1
KKB ENGINEERING BERHAD,"KKB (9466) [s]
KKB ENGINEERING BERHAD Summary",Industrial Products & Services - Main Market,0.780 - 1.270,5.9,17,6.84,0,0,1.02,160,1,304.2M,Neutral 62.1,Neutral 62.5
PARAGON GLOBE BERHAD,"PGLOBE (3611)
PARAGON GLOBE BERHAD Summary",Industrial Products & Services - Main Market,1.000 - 1.400,-1.52,-56,-1.96,0,0,0.85,20.48,5,205.3M,Neutral 51.3,Overbought 100.0
DUFU TECHNOLOGY CORP. BERHAD,"DUFU (7233) [s]
DUFU TECHNOLOGY CORP. BERHAD Summary",Industrial Products & Services - Main Market,0.940 - 4.070,29.41,8,19.7,1.56,0.0096,2.43,91.73,2,429.0M,Neutral 43.4,Oversold 12.5
NOTION VTEC BERHAD,"NOTION (0083) [s]
NOTION VTEC BERHAD Summary",Technology - Main Market,0.515 - 0.790,17.78,3,21.45,1,0.0174,0.48,78.4,1,191.6M,Neutral 40.8,Oversold 12.0
HAP SENG PLANTATIONS HOLDINGS BERHAD,"HSPLANT (5138) [s]
HAP SENG PLANTATIONS HOLDINGS BERHAD Summary",Plantation - Main Market,1.610 - 2.530,1.78,51,3.64,2.5,0.0134,0.91,48.84,4,"1,496.0M",Neutral 49.3,Oversold 10.0
AWC BERHAD,"AWC (7579) [s]
AWC BERHAD Summary",Industrial Products & Services - Main Market,0.600 - 0.930,12.96,9,8.45,0.47,0.0061,1.17,112.5,1,220.2M,Neutral 60.4,Neutral 73.7
CAHYA MATA SARAWAK BERHAD,"CMSB (2852) [s]
CAHYA MATA SARAWAK BERHAD Summary",Industrial Products & Services - Main Market,1.740 - 4.400,10.39,13,24.73,0,0,1.34,159.34,2,"3,416.5M",Neutral 66.3,Overbought 84.6
RHONE MA HOLDINGS BERHAD,"RHONEMA (5278)
RHONE MA HOLDINGS BERHAD Summary",Consumer Products & Services - Main Market,0.700 - 1.000,9.62,14,5.51,0.91,0.0121,1.31,74.06,1,137.0M,Neutral 50.3,Neutral 46.2
TECHFAST HOLDINGS BERHAD,"TECFAST (0084) [s]
TECHFAST HOLDINGS BERHAD Summary",Industrial Products & Services - Ace Market,0.260 - 0.565,15.28,19,1.74,0.5,0.0149,2.94,13.33,3,76.4M,Neutral 49.4,Neutral 27.8
UZMA BERHAD,"UZMA (7250) [s]
UZMA BERHAD Summary",Energy - Main Market,0.550 - 1.570,4.07,16,6.22,0,0,0.67,114.84,1,326.4M,Neutral 69.9,Neutral 78.3
SBC CORPORATION BERHAD,"SBCCORP (5207) [s]
SBC CORPORATION BERHAD Summary",Property - Main Market,0.400 - 0.630,2.21,13,3.78,0,0,0.3,48.51,1,130.4M,Neutral 50.1,Neutral 60.0
STAR MEDIA GROUP BERHAD,"STAR (6084) [s]
STAR MEDIA GROUP BERHAD Summary",Telecommunications & Media - Main Market,0.620 - 1.310,0.63,110,0.71,3,0.0382,0.69,53.17,1,579.8M,Neutral 61.9,Neutral 50.0
HIL INDUSTRIES BERHAD,"HIL (8443)
HIL INDUSTRIES BERHAD Summary",Industrial Products & Services - Main Market,0.465 - 0.800,5.16,11,5.11,0,0,0.55,31.56,2,182.0M,Neutral 63.7,Overbought 88.2
QES GROUP BERHAD,"QES (0196)
QES GROUP BERHAD Summary",Industrial Products & Services - Ace Market,0.165 - 0.380,15.5,13,1.86,0,0,2,25.46,1,182.0M,Neutral 52.1,Neutral 33.3
MANAGEPAY SYSTEMS BERHAD,"MPAY (0156)
MANAGEPAY SYSTEMS BERHAD Summary",Technology - Ace Market,0.100 - 0.210,-8.62,-11,-1.12,0,0,0.96,1.82,7,88.8M,Neutral 52.3,Neutral 33.3
